"%s was added to your Quote Request.","%s a été ajouté à votre demande de devis."
"Are you sure you want to cancel this quote?","Êtes-vous sûr de vouloir annuler ce devis ?"
"Cannot add the item to Quote Request.","Impossible d'ajouter ce produit à la demande de devis."
"Cannot update shopping cart.","Impossible de mettre à jour la panier."
"Comment: ","Commentaire :"
"Comment can not be blank","Le commentaire ne peut pas être vide"
"Confirm and Checkout","Confirmez et commandez"
"Convert to Order","Convertir en commande"
"Create New Quote","Créer un nouveau devis"
"Create New Quote Request","Créer une nouvelle demande de devis"
"Create New Quote Request for %s","Créer une nouvelle demande de devis pour %s"
"Create New Quote Request for %s in %s","Créer une nouvelle demande de devis pour %s dans %s"
"Create New Quote Request for New Customer in %s","Créer une nouvelle demande de devis pour un nouveau client dans %s"
"Create New Status","Créer un nouveau statut"
"customer","client"
"Do you have a general remark with this Quote Request?","Avez-vous une note générale avec cette demande de devis ?"
"Email Quote","Envoyer par mail le devis"
"General Request Remark","Remarque générale sur la demande"
"Image","Image"
"Manage Quote Requests","Gérer les demandes de devis"
"My Quote","Mon devis"
"My Quote (%s item)","Mon devis (%s produit)"
"My Quote (%s items)","Mon devis (%s produits)"
"My Quotes","Mes devis"
"Price Proposal","Prix proposé"
"Remark","Remarque"
"Remarks with product","Remarques avec le produit"
"Quote #","Devis #"
"Quote # %s","Devis # %s"
"Quote Comment","Commentaire du devis"
"Quote comment successfully added","Le commentaire du devis a été ajouté avec succès."
"Quote Request #%d","Demande de devis #%d"
"Quote Request #%d Processed","Demande de devis #%d en cours"
"Quote Request #%d Comment Added","Demande de devis #%d commentaire ajouté"
"Quote Request Accepted","Demande de devis acceptée"
"Quote Request Date: %s","Demande de devis date : %s"
"Quote Request Declined","Demande de devis déclinée"
"Quote request email","Demande de devis email"
"Quote Request has been submitted. Please wait for your price proposal.","La demande de devis a été envoyé. Veuillez attendre pour la proposition de prix."
"Quote request is not processed.","La demande de devis n'est pas en cours."
"Quote Request Rejected","Demande de devis rejeté"
"Quote Requests","Demandes de devis"
"Quote Request %s","Demande de devis %s"
"Quote Request Submitted","Demande de devis envoyée"
"Quote requests disabled for this product.","Demande de devis désactivée pour ce produit."
"Quote Statuses","Statuts du devis"
"Request for Quote","Demande pour le devis"
"Request Status","Statut de la demande"
"Sales Rep","Responsable du département"
"Shipping &amp; Handling price varies. Please select required quantity and checkout online to see applicable price.","La livraison et le prix de la manutention varie. Sélectionnez la quantité requise et vérifiez en ligne pour voir le prix applicable."
"Shipping address selection is not applicable","La sélection de l'adresse d'expédition n'est pas applicable"
"Submit Quote","Enregistrer le devis"
"Submit Quote Request","Enregistrer la demande de devis"
"Unable to create order from quote request.","Impossible de créer une commande à partir de la demande de devis."
"Update Status","Mise à jour du statut"
"View Quote Request","Voir la demande de devis"
"Wrong quote id.","Mauvais id de devis."
"You have placed no quote requests.","Vous n'avez fait aucune demande de devis."
"You will receive a Quote Request confirmation email with a link to track progress.","Vous recevrez un email de confirmation de demande de devis avec un lien pour suivre les progrès."
"Your quote request # is:","Votre demande de devis # is:"
"Your Quote Request has been received","Votre demande de devis a été reçue"
"Total price discounts:","Total des remises de prix :"
