"* Required informations","* Informations obligatoires"
"Comment","Commentaire"
"Email address","Adresse email"
"Send the request of demonstration","Envoyer la demande de démonstration"
"First name","Prénom"
"Last name","Nom"
"Name of the société/of the establishment","Nom de la société/de l'établissement"
"Reminder form","Formulaire de rappel"
"Telephone","Téléphone"
"Unable to submit your request. Please, try again later","Impossible d'envoyer votre demande. Veuillez réessayer plus tard."
"Your inquiry was submitted and will be responded to as soon as possible. Thank you for contacting us.","Votre requête nous a bien été transmise et sera traitée dès que possible. Merci !"
"We remind to you","On vous rappelle"
